gestion,semestre,carrera,carrera_codigo,modalidad_ingreso,orden_postulacion,turno_estudio,formacion_previa,genero,edad_ingreso,estado_civil,estudiante_internacional,beneficiario_beca,pagos_al_dia,deudor,desplazado,nee,situacion_laboral_estudiante,apoyo_financiero_tipo,materias_inscritas_1sem,evaluaciones_1sem,materias_aprobadas_1sem,promedio_1sem,materias_inscritas_2sem,evaluaciones_2sem,materias_aprobadas_2sem,promedio_2sem,reprobaciones_total,asistencia_pct,tutorias_recibidas,orientacion_academica,tasa_desempleo,tasa_inflacion,pib,estado_academico,target_desercion,avance_curricular_pct,n_retiros,materias_criticas_reprobadas,nota_prom_materias_criticas,alertas_academicas,uso_tutorias
2025,8,Ing. Financiera y de Riesgos,4,17,1,1,16,0,21,1,0,1,1,0,1,0,0,beca,6,7,6,10.571428571428571,6,8,5,11.0,0,100.0,2,1,8.9,1.4,3.51,Activo,0,100.0,0,0.0,10.122491613558527,0,1
2023,6,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,18,1,0,1,1,0,1,0,0,beca,5,7,4,13.25,5,5,5,12.0,1,76.7,1,1,10.8,1.4,1.74,Activo,0,75.0,0,1.0,12.227056715941105,0,1
2023,6,Ing. Comercial,1,1,1,1,1,0,20,1,0,0,1,0,1,0,0,ninguno,6,6,5,13.2,6,7,0,0.0,1,83.0,0,0,15.5,2.8,-4.06,Abandono,1,75.0,0,1.0,5.940800948940706,0,0
2023,4,Ing. Comercio Internacional,2,9,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,6,10,1,12.0,6,14,2,11.0,5,92.4,1,1,10.8,1.4,1.74,Activo,0,50.0,0,2.0,11.030306830278953,1,1
2024,3,Lic. en Administración de Empresas,3,8,2,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,7,8,7,13.30625,8,8,8,14.545,0,75.2,3,1,15.5,2.8,-4.06,Activo,0,37.5,0,0.0,13.496593055708267,0,1
2024,3,Ing. Financiera y de Riesgos,4,1,1,1,1,0,20,1,0,0,1,0,1,0,1,ninguno,5,8,4,12.5,5,8,4,12.25,1,77.5,1,1,10.8,1.4,1.74,Activo,0,37.5,0,1.0,12.029616046849666,0,1
2023,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,7,7,6,11.666666666666666,7,8,6,13.5,1,81.0,1,1,16.2,0.3,-0.92,Activo,0,12.5,0,0.0,11.749476542204034,0,1
2024,6,Ing. Comercial,1,1,3,1,1,0,21,1,0,1,1,0,0,0,1,mixto,0,0,0,0.0,0,0,0,0.0,0,70.2,2,1,11.1,0.6,2.02,Activo,0,75.0,0,0.0,0.0,0,1
2025,2,Ing. Comercio Internacional,2,9,4,1,1,0,20,1,0,0,1,0,1,0,0,ninguno,7,14,7,11.4375,8,9,8,11.425,0,91.3,0,0,12.7,3.7,-1.7,Activo,0,25.0,1,0.0,10.69259942168177,0,0
2024,2,Lic. en Administración de Empresas,3,1,4,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,8,12,7,12.857142857142858,8,12,7,12.857142857142858,1,82.9,0,0,12.7,3.7,-1.7,Activo,0,25.0,0,0.0,12.047827516829537,0,0
2024,6,Ing. Financiera y de Riesgos,4,1,4,1,1,0,19,1,0,1,1,0,1,0,0,credito,6,8,6,13.375,6,7,6,12.285714285714286,0,84.2,2,1,11.1,0.6,2.02,Activo,0,75.0,0,0.0,12.054835477137654,0,1
2023,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,19,1,0,0,1,0,0,0,0,ninguno,7,8,6,13.296666666666669,8,9,7,14.114285714285714,1,73.4,2,1,11.1,0.6,2.02,Activo,0,12.5,0,0.0,13.076125687113413,0,1
2025,1,Ing. Comercial,1,1,1,1,1,0,18,1,0,1,1,1,1,0,1,credito,6,8,5,11.6,6,12,4,11.0,1,69.7,2,1,7.6,2.6,0.32,Activo,0,12.5,0,0.0,10.72847102973379,0,1
2024,2,Ing. Comercio Internacional,2,8,2,1,1,0,21,1,0,0,1,0,1,0,0,ninguno,6,9,6,11.375,6,9,6,13.285714285714286,0,80.5,0,0,16.2,0.3,-0.92,Activo,0,25.0,0,0.0,11.767185206108678,0,0
2025,3,Lic. en Administración de Empresas,3,1,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,5,9,5,12.666666666666666,5,7,4,13.0,0,92.7,0,0,9.4,-0.8,-3.12,Activo,0,37.5,0,0.0,12.085299175482293,0,0
2024,6,Ing. Financiera y de Riesgos,4,1,1,1,1,0,20,1,0,0,1,0,1,0,0,ninguno,5,6,5,12.0,5,6,5,12.333333333333334,0,97.5,3,1,16.2,0.3,-0.92,Activo,0,75.0,2,0.0,11.520310618207356,0,1
2025,8,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,8,2,1,1,1,19,1,0,0,1,0,1,0,0,ninguno,7,9,6,12.933333333333332,7,7,6,13.716666666666669,1,94.9,1,1,16.2,0.3,-0.92,Activo,0,100.0,0,1.0,12.430607426408042,0,1
2024,1,Ing. Comercial,1,15,1,1,14,1,21,1,0,0,1,0,0,0,0,ninguno,6,15,5,11.857142857142858,6,17,5,10.571428571428571,1,80.6,0,0,16.2,0.3,-0.92,Activo,0,12.5,0,0.0,10.301994325257017,0,0
2024,1,Ing. Comercio Internacional,2,16,1,1,1,1,20,1,0,0,1,0,1,0,1,ninguno,6,7,6,12.833333333333334,6,9,4,13.4,0,82.9,0,0,8.9,1.4,3.51,Activo,0,12.5,0,0.0,12.697274402062105,0,0
2025,4,Lic. en Administración de Empresas,3,1,1,1,1,1,18,1,0,0,0,0,0,0,0,ninguno,5,9,3,11.333333333333334,5,8,2,13.5,2,73.1,0,0,8.9,1.4,3.51,Activo,0,50.0,0,1.0,12.02130311058466,1,0
2025,2,Ing. Financiera y de Riesgos,4,9,1,0,1,0,19,1,0,0,1,0,1,0,1,ninguno,6,6,6,12.666666666666666,6,8,6,14.375,0,100.0,0,0,12.4,0.5,1.79,Activo,0,25.0,0,0.0,12.779552685108133,0,0
2024,6,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,0,1,1,34,1,0,0,1,0,0,0,1,ninguno,5,6,5,12.4,5,9,5,13.428571428571429,0,70.7,0,0,13.9,-0.3,0.79,Activo,0,75.0,0,0.0,12.403427690642118,0,0
2024,2,Ing. Comercial,1,12,1,1,1,1,37,1,0,0,0,1,0,0,0,ninguno,7,7,0,0.0,7,7,1,10.0,7,95.3,0,0,8.9,1.4,3.51,Abandono,1,25.0,0,2.0,4.687000496864431,1,0
2024,7,Ing. Comercio Internacional,2,12,1,1,8,1,43,1,0,0,1,0,1,0,1,ninguno,5,0,0,0.0,5,0,0,0.0,5,81.8,1,1,7.6,2.6,0.32,Abandono,1,87.5,1,3.0,0.0,1,1
2025,5,Lic. en Administración de Empresas,3,14,1,1,1,0,55,1,0,0,1,0,0,0,0,ninguno,5,10,1,10.0,5,8,2,12.0,4,77.3,3,1,16.2,0.3,-0.92,Abandono,1,62.5,0,2.0,10.541169462929334,1,1
2025,7,Ing. Financiera y de Riesgos,4,12,1,0,1,0,39,4,0,0,1,0,1,0,1,ninguno,5,8,5,11.0,5,5,5,11.6,0,56.8,0,0,7.6,2.6,0.32,Activo,0,87.5,0,0.0,10.349503543819935,1,0
2025,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,15,1,1,14,0,20,1,1,0,0,1,0,0,0,ninguno,6,13,3,11.666666666666666,6,11,3,12.0,3,83.2,0,0,12.4,0.5,1.79,Abandono,1,12.5,0,1.0,11.031129217718554,1,0
2025,2,Ing. Comercial,1,1,5,1,1,0,18,1,0,0,1,1,0,0,0,ninguno,6,6,4,12.75,5,5,0,0.0,2,85.5,0,0,12.7,3.7,-1.7,Abandono,1,25.0,0,1.0,5.541142557061961,1,0
2025,6,Ing. Comercio Internacional,2,1,2,1,1,0,22,1,0,0,1,0,1,0,0,ninguno,5,5,5,14.8,5,5,5,15.8,0,85.9,0,0,8.9,1.4,3.51,Activo,0,75.0,0,0.0,14.858976952944788,0,0
2025,5,Lic. en Administración de Empresas,3,1,6,1,1,0,22,1,0,0,1,0,1,1,1,ninguno,7,9,5,13.928,8,9,7,14.342857142857142,2,74.5,0,0,11.1,0.6,2.02,Activo,0,62.5,2,1.0,13.671492473496802,1,0
2024,1,Ing. Financiera y de Riesgos,4,8,1,1,1,0,20,1,0,0,0,0,0,0,0,ninguno,6,7,4,13.0,6,7,5,13.8,2,74.0,0,0,12.4,0.5,1.79,Abandono,1,12.5,1,1.0,12.735112572323155,1,0
2023,2,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,12,1,0,1,0,29,1,0,0,1,0,0,0,0,ninguno,5,0,0,0.0,5,0,0,0.0,5,80.2,1,1,16.2,0.3,-0.92,Abandono,1,25.0,1,1.0,0.0,1,1
2025,2,Ing. Comercial,1,8,1,0,1,0,24,1,0,0,1,0,0,0,1,ninguno,5,9,2,11.5,5,11,3,14.333333333333334,3,64.5,0,0,7.6,2.6,0.32,Activo,0,25.0,0,2.0,12.402864481788546,1,0
2025,3,Ing. Comercio Internacional,2,8,2,1,1,0,18,1,0,0,1,0,1,0,1,ninguno,6,6,6,11.666666666666666,6,8,5,13.2,0,87.0,1,1,11.1,0.6,2.02,Activo,0,37.5,0,0.0,11.90830959876987,0,1
2024,1,Lic. en Administración de Empresas,3,8,6,1,1,0,22,1,0,1,1,0,1,0,0,beca,7,8,6,13.516666666666666,8,9,7,13.771428571428572,1,72.1,0,0,11.1,0.6,2.02,Activo,0,12.5,0,0.0,13.232306665770684,0,0
2023,1,Ing. Financiera y de Riesgos,4,15,1,0,14,0,21,1,0,1,1,0,0,0,1,beca,6,6,6,11.5,6,7,6,13.285714285714286,0,56.0,1,1,12.4,0.5,1.79,Activo,0,12.5,0,0.0,11.949229159480529,1,1
2025,2,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,19,1,0,1,1,0,0,0,0,beca,6,7,5,12.333333333333334,6,7,6,12.833333333333334,1,48.5,0,0,12.7,3.7,-1.7,Activo,0,25.0,0,0.0,11.731347043927554,1,0
2024,5,Ing. Comercial,1,12,1,1,1,0,24,1,0,1,1,0,0,0,1,credito,6,6,6,13.666666666666666,6,6,6,14.166666666666666,0,76.6,2,1,12.4,0.5,1.79,Activo,0,62.5,1,0.0,13.499629568483579,0,1
2024,5,Ing. Comercio Internacional,2,1,1,1,1,0,19,1,0,1,1,0,1,0,1,mixto,8,10,6,11.833333333333334,8,10,6,11.833333333333334,2,84.7,2,1,9.4,-0.8,-3.12,Activo,0,62.5,0,0.0,11.513413159042589,1,1
2024,5,Lic. en Administración de Empresas,3,1,1,1,1,0,20,1,0,1,1,0,1,0,0,mixto,6,11,4,14.0,6,12,3,11.0,2,83.7,1,1,9.4,-0.8,-3.12,Activo,0,62.5,0,1.0,11.759451540159743,1,1
2023,1,Ing. Financiera y de Riesgos,4,1,3,1,1,0,19,1,0,0,1,0,0,0,0,ninguno,5,7,5,14.714285714285714,5,5,5,15.8,0,81.1,1,1,7.6,2.6,0.32,Activo,0,12.5,0,0.0,14.273954673568142,0,1
2025,4,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,12,1,0,1,0,27,1,0,0,1,0,0,0,1,ninguno,5,12,5,10.6,5,10,5,11.0,0,76.4,2,1,9.4,-0.8,-3.12,Abandono,1,50.0,1,0.0,10.268150329763817,0,1
2024,2,Ing. Comercial,1,1,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,7,9,7,13.044444444444444,8,10,8,13.595,0,79.6,0,0,15.5,2.8,-4.06,Activo,0,25.0,2,0.0,12.936663229984845,0,0
2023,2,Ing. Comercio Internacional,2,4,1,1,3,0,39,2,0,0,1,0,0,0,1,ninguno,6,10,0,0.0,6,6,0,0.0,6,87.6,1,1,12.4,0.5,1.79,Abandono,1,25.0,0,2.0,0.0,1,1
2023,4,Lic. en Administración de Empresas,3,12,1,1,15,0,27,1,0,0,1,0,1,0,0,ninguno,6,9,5,13.0,11,13,10,12.9,1,63.2,2,1,12.4,0.5,1.79,Abandono,1,50.0,1,0.0,12.015552052233048,1,1
2024,7,Ing. Financiera y de Riesgos,4,8,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,8,8,8,14.935,8,8,8,14.935,0,81.7,0,0,9.4,-0.8,-3.12,Activo,0,87.5,0,0.0,14.086156754120065,0,0
2024,6,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,3,1,1,0,18,1,0,0,1,0,1,0,1,ninguno,0,0,0,0.0,0,0,0,0.0,0,80.1,1,1,7.6,2.6,0.32,Activo,0,75.0,1,0.0,0.0,0,1
2023,7,Ing. Comercial,1,1,2,1,1,0,18,1,0,0,1,0,0,0,0,ninguno,7,8,6,13.133333333333333,8,12,7,12.221428571428572,1,85.0,0,0,16.2,0.3,-0.92,Activo,0,87.5,0,1.0,12.156841404755633,0,0
2024,2,Ing. Comercio Internacional,2,15,1,1,14,0,21,1,0,1,1,0,0,0,1,beca,6,7,6,12.0,6,7,6,12.0,0,61.9,0,0,13.9,-0.3,0.79,Activo,0,25.0,0,0.0,11.320683878706646,1,0
2024,5,Lic. en Administración de Empresas,3,8,3,1,1,1,19,1,0,1,1,0,1,0,1,credito,0,0,0,0.0,0,0,0,0.0,0,72.8,0,0,10.8,1.4,1.74,Activo,0,62.5,1,0.0,0.0,0,0
2025,1,Ing. Financiera y de Riesgos,4,8,1,1,1,1,19,1,0,0,1,0,1,0,0,ninguno,6,6,5,11.4,6,8,1,10.0,1,86.8,1,1,10.8,1.4,1.74,Activo,0,12.5,0,0.0,9.92473820300353,0,1
2025,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,14,1,1,1,1,24,1,0,0,1,0,0,0,1,ninguno,6,6,0,0.0,6,6,0,0.0,6,87.8,0,0,12.7,3.7,-1.7,Activo,0,12.5,0,4.0,0.0,1,0
2024,3,Ing. Comercial,1,13,1,1,12,1,29,4,0,0,1,0,1,0,0,ninguno,7,10,5,11.9,8,10,5,11.0,2,83.7,0,0,13.9,-0.3,0.79,Abandono,1,37.5,0,1.0,10.474477863963056,1,0
2025,1,Ing. Comercio Internacional,2,1,3,1,1,1,19,1,0,1,1,0,1,0,0,mixto,0,0,0,0.0,0,0,0,0.0,0,91.4,0,0,10.8,1.4,1.74,Activo,0,12.5,0,0.0,0.0,0,0
2025,1,Lic. en Administración de Empresas,3,15,1,1,14,1,23,1,0,0,1,0,1,0,1,ninguno,6,8,6,12.571428571428571,6,7,6,12.428571428571429,0,86.8,1,1,8.9,1.4,3.51,Activo,0,12.5,0,0.0,12.187080506669885,0,1
2023,3,Ing. Financiera y de Riesgos,4,1,3,1,1,1,19,1,0,0,1,1,0,0,1,ninguno,5,8,5,11.2,5,10,4,10.75,0,77.2,0,0,16.2,0.3,-0.92,Abandono,1,37.5,0,0.0,10.293074074900995,0,0
2025,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,12,1,1,1,1,26,1,0,0,1,0,0,0,0,ninguno,6,7,6,12.0,6,8,5,10.8,0,96.9,0,0,12.7,3.7,-1.7,Activo,0,12.5,1,0.0,10.60524664692223,0,0
2025,6,Ing. Comercial,1,8,1,1,1,1,18,1,0,0,1,0,0,0,1,ninguno,5,9,0,0.0,5,5,0,0.0,5,95.8,1,1,7.6,2.6,0.32,Activo,0,75.0,0,3.0,0.0,1,1
2023,6,Ing. Comercio Internacional,2,8,1,1,1,1,24,1,0,0,1,0,0,0,1,ninguno,7,8,7,11.975,8,8,8,13.75,0,78.0,2,1,13.9,-0.3,0.79,Activo,0,75.0,0,0.0,12.426882746882633,0,1
2023,2,Lic. en Administración de Empresas,3,1,1,1,1,1,19,1,0,0,1,0,1,0,0,ninguno,0,0,0,0.0,0,0,0,0.0,0,67.1,3,1,15.5,2.8,-4.06,Abandono,1,25.0,1,0.0,0.0,0,1
2025,6,Ing. Financiera y de Riesgos,4,8,4,1,1,1,18,1,0,0,1,0,1,0,1,ninguno,6,12,3,11.666666666666666,6,12,1,12.0,3,77.0,0,0,12.4,0.5,1.79,Abandono,1,75.0,1,1.0,11.174519685646224,1,0
2024,3,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,2,1,1,1,18,1,0,0,1,0,1,0,1,ninguno,6,8,6,12.333333333333334,6,11,3,12.333333333333334,0,70.6,0,0,10.8,1.4,1.74,Activo,0,37.5,0,0.0,11.801912766354333,0,0
2024,4,Ing. Comercial,1,8,3,1,1,1,18,1,0,0,1,1,1,0,0,ninguno,5,8,3,10.333333333333334,5,11,3,10.857142857142858,2,85.6,0,0,10.8,1.4,1.74,Abandono,1,50.0,0,1.0,9.692880054626883,1,0
2024,1,Ing. Comercio Internacional,2,9,4,1,1,1,21,1,0,1,1,0,1,0,0,credito,6,8,4,10.5,6,11,1,11.0,2,93.5,0,0,9.4,-0.8,-3.12,Abandono,1,12.5,0,1.0,10.118367892382896,1,0
2025,8,Lic. en Administración de Empresas,3,8,4,1,1,1,19,1,0,1,1,1,1,0,0,beca,6,6,6,13.666666666666666,6,6,6,13.333333333333334,0,93.8,2,1,8.9,1.4,3.51,Activo,0,100.0,0,0.0,12.640294949128599,0,1
2024,1,Ing. Financiera y de Riesgos,4,8,4,1,1,1,22,1,0,1,1,0,0,0,0,mixto,7,7,7,14.842857142857142,8,9,8,15.055555555555555,0,97.9,0,0,16.2,0.3,-0.92,Activo,0,12.5,0,0.0,14.242772516868701,0,0
2024,2,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,12,1,0,1,1,33,2,0,0,1,0,0,0,0,ninguno,6,8,6,12.0,6,6,6,11.666666666666666,0,79.4,0,0,10.8,1.4,1.74,Activo,0,25.0,0,0.0,10.992170234201353,0,0
2024,6,Ing. Comercial,1,1,6,1,1,1,20,1,0,0,1,0,1,0,1,ninguno,6,8,5,12.2,6,7,5,12.2,1,76.8,0,0,10.8,1.4,1.74,Abandono,1,75.0,0,0.0,11.667128909428772,0,0
2024,3,Ing. Comercio Internacional,2,12,1,0,2,1,35,1,0,0,1,0,1,0,1,ninguno,1,1,0,0.0,5,0,0,0.0,1,83.1,0,0,10.8,1.4,1.74,Abandono,1,37.5,0,0.0,0.0,0,0
2025,8,Lic. en Administración de Empresas,3,12,1,1,4,1,24,1,0,0,1,1,0,0,0,ninguno,12,17,6,12.166666666666666,12,14,10,13.3,6,89.7,0,0,12.4,0.5,1.79,Abandono,1,100.0,1,1.0,12.24113271244762,1,0
2024,2,Ing. Financiera y de Riesgos,4,8,1,1,1,1,18,1,0,0,1,0,0,0,0,ninguno,5,6,5,12.0,5,8,3,11.333333333333334,0,87.6,1,1,12.7,3.7,-1.7,Activo,0,25.0,0,0.0,10.984397501064365,0,1
2024,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,12,1,0,1,0,33,2,0,0,1,0,1,0,1,ninguno,6,7,6,11.0,6,11,5,11.0,0,73.6,0,0,9.4,-0.8,-3.12,Activo,0,12.5,1,0.0,10.550195020778288,0,0
2023,8,Ing. Comercial,1,13,1,1,1,0,22,1,0,1,1,0,1,0,0,beca,8,8,7,13.08,8,8,7,13.08,1,87.0,0,0,10.8,1.4,1.74,Activo,0,100.0,0,1.0,12.447131434861666,0,0
2023,4,Ing. Comercio Internacional,2,12,1,1,1,0,25,1,0,1,1,0,0,0,1,credito,5,7,4,10.5,5,7,5,11.6,1,91.1,0,0,9.4,-0.8,-3.12,Activo,0,50.0,0,0.0,10.527277353343909,0,0
2023,6,Lic. en Administración de Empresas,3,8,1,1,1,1,20,1,0,0,1,0,1,0,0,ninguno,6,9,6,10.666666666666666,6,6,5,11.2,0,86.3,0,0,7.6,2.6,0.32,Activo,0,75.0,0,0.0,10.446640931887284,0,0
2025,3,Ing. Financiera y de Riesgos,4,1,6,1,1,1,23,1,0,0,1,0,1,0,0,ninguno,5,6,4,14.0,5,5,5,13.8,1,75.2,2,1,11.1,0.6,2.02,Activo,0,37.5,2,0.0,12.923110487380374,0,1
2023,2,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,14,2,1,1,1,18,1,0,0,1,1,1,0,0,ninguno,5,9,2,10.0,5,9,0,0.0,3,80.6,0,0,15.5,2.8,-4.06,Activo,0,25.0,1,1.0,4.587948126159288,1,0
2025,7,Ing. Comercial,1,12,1,1,1,1,24,1,0,0,1,0,0,0,0,ninguno,7,18,0,0.0,7,7,0,0.0,7,70.8,1,1,13.9,-0.3,0.79,Abandono,1,87.5,0,3.0,0.0,1,1
2023,3,Ing. Comercio Internacional,2,8,2,1,1,0,21,1,1,0,0,0,1,0,0,ninguno,6,6,6,14.0,6,6,6,13.5,0,100.0,2,1,8.9,1.4,3.51,Activo,0,37.5,1,0.0,12.76108452836175,0,1
2024,4,Lic. en Administración de Empresas,3,6,1,1,1,0,26,1,1,0,1,0,0,0,0,ninguno,6,7,2,12.0,6,6,0,0.0,4,85.9,0,0,8.9,1.4,3.51,Abandono,1,50.0,1,1.0,5.686068961381945,1,0
2023,7,Ing. Financiera y de Riesgos,4,12,1,1,8,0,39,2,0,0,1,0,0,0,0,ninguno,6,12,3,12.666666666666666,6,14,0,0.0,3,75.7,1,1,7.6,2.6,0.32,Abandono,1,87.5,0,1.0,5.544014143503866,1,1
2023,2,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,12,1,0,1,0,44,2,0,0,1,0,0,0,0,ninguno,8,11,8,11.875,6,7,6,12.333333333333334,0,86.1,1,1,12.7,3.7,-1.7,Activo,0,25.0,0,0.0,11.627128402777267,0,1
2024,1,Ing. Comercial,1,6,1,1,1,1,19,1,1,0,1,0,1,0,0,ninguno,5,9,5,14.0,5,11,3,13.25,0,87.4,0,0,13.9,-0.3,0.79,Activo,0,12.5,0,0.0,13.296658522970187,0,0
2025,5,Ing. Comercio Internacional,2,1,5,1,1,0,18,1,0,0,1,0,1,0,1,ninguno,6,6,6,13.666666666666666,6,6,6,13.333333333333334,0,74.4,1,1,8.9,1.4,3.51,Activo,0,62.5,0,0.0,12.917977294730358,0,1
2025,7,Lic. en Administración de Empresas,3,1,5,1,1,0,18,1,0,1,1,0,1,0,0,mixto,7,7,7,13.75,8,9,8,14.47777777777778,0,91.1,0,0,12.4,0.5,1.79,Activo,0,87.5,1,0.0,13.159236421769279,0,0
2023,4,Ing. Financiera y de Riesgos,4,1,1,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,5,7,5,14.2,5,7,5,13.8,0,81.3,0,0,12.7,3.7,-1.7,Activo,0,50.0,0,0.0,13.691764433943101,0,0
2023,4,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,4,1,1,0,19,1,0,0,0,1,1,0,0,ninguno,7,10,4,11.96,7,7,0,0.0,3,92.4,0,0,13.9,-0.3,0.79,Abandono,1,50.0,0,2.0,5.268480015649153,1,0
2025,5,Ing. Comercial,1,17,1,1,16,0,21,1,0,0,1,0,0,0,1,ninguno,10,12,8,12.875,9,14,5,13.4,2,67.7,1,1,8.9,1.4,3.51,Abandono,1,62.5,0,1.0,12.486522464983272,1,1
2025,4,Ing. Comercio Internacional,2,1,4,1,1,0,20,1,0,0,1,0,1,0,1,ninguno,0,0,0,0.0,0,0,0,0.0,0,86.8,0,0,16.2,0.3,-0.92,Activo,0,50.0,0,0.0,0.0,0,0
2023,1,Lic. en Administración de Empresas,3,12,1,0,1,0,36,2,0,0,1,0,1,0,0,ninguno,6,0,0,0.0,6,0,0,0.0,6,80.9,2,1,9.4,-0.8,-3.12,Abandono,1,12.5,0,3.0,0.0,1,1
